timestamp,message
1778188881899,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: get_akamai_onboarding_compliance (appci=AGS)"",""timestamp"":""2026-05-07 21:21:21,899+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887051,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=11e65ccb-0f20-44ea-ba17-67e29a3297d4) executed successfully"",""timestamp"":""2026-05-07 21:21:27,051+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for AGS: FAIL"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: get_akamai_onboarding_compliance [5286.8ms] (record_count=0)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: validate_akamai (validator_type=akamai)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""validate_akamai:29"",""message"":""Akamai validation FAILED — criteria not met"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: validate_akamai [0.17ms] (validation_result=FAIL)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: build_result (identifier=AGS)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: build_result [0.1ms] (result_size=750)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
1778188887186,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: write_result (identifier=AGS)"",""timestamp"":""2026-05-07 21:21:27,186+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0251-d954ed52d34fb1ac123db570""}
"
